paper_id,cluster_id
W2045602598,6
W2160312153,6
W2094457036,3
W2305744286,3
W2154903153,3
W2077601635,3
W2143570455,3
W1973084620,3
W2002706055,3
W2045518428,3
W144694007,3
W1963845437,3
W2162161220,3
W2117184795,3
W2074045562,3
W2044497156,3
W2114403543,3
W1238502700,3
W2155021109,3
W2147223336,3
W1984216584,3
W2070003057,3
W2030305211,3
W2083487914,3
W1993692482,3
W2083626135,0
W1487506519,3
W2055371752,3
W2036852621,3
W1992704644,3
W1964726278,3
W2040908736,3
W1992704431,3
W2051880868,3
W2030737002,3
W1973089832,3
W2057103857,3
W1974096700,3
W1988615172,3
W1976225339,3
W2081242562,3
W2072483453,3
W2012459904,3
W2010048557,3
W2029171651,3
W2076064763,3
W2013598973,3
W2952637424,3
W2015520736,3
W2056905823,3
W2055090375,3
W1972620858,3
W2012040974,3
W1970005998,3
W1968096235,3
W2018086073,3
W2172281837,3
W2034407899,3
W2084439672,3
W2033103031,3
W1996179351,3
W1966877531,3
W2163287450,3
W2050339027,3
W2066546810,3
W2011975980,3
W2065736987,3
W1967565409,3
W2059994253,3
W1985124986,3
W2072581557,3
W2083278989,3
W2007951183,3
W2086350100,3
W1999804903,3
W2024451399,3
W1978766092,3
W1989964566,3
W2035039167,3
W2043969646,3
W2093322061,3
W2036031128,3
W2069438228,3
W1976199242,3
W2076026856,3
W2072665721,3
W2007284233,3
W2082006735,3
W2057124115,3
W2085440888,3
W1979014950,3
W2075489257,3
W1966052126,3
W2014048129,3
W1998933768,6
W2002145593,6
W2106771107,3
W2091515274,3
W1987576628,3
W2154079902,3
W1997441773,3
W2074455269,3
W2079398789,3
W2099980851,3
W2069646893,3
W2003403818,3
W2018559910,3
W2065938331,3
W2006419210,3
W2001918291,3
W2001611263,3
W1984517306,3
W2067054456,3
W2002699240,3
W1981662622,3
W2171350769,0
W2013860808,0
W2087325875,3
W1989923993,6
W2061181623,3
W2952891021,3
W2014514745,3
W2064812651,0
W2331679669,0
W2106125153,3
W1992457620,0
W2045952241,3
W2400174535,3
W1986156813,3
W1971098483,0
W1984494637,0
W2037610676,3
W2021396772,0
W2318892572,0
W2077107903,0
W2133900518,0
W1986195673,0
W2100519289,0
W2079850477,0
W2169068485,3
W1978922428,0
W2028602367,0
W1968748900,3
W2032616711,6
W2038652568,6
W1984650431,3
W2029279638,3
W1963557914,3
W1998791156,6
W2063799954,6
W2033567187,6
W1668438988,3
W1994746324,6
W2005833324,3
W2068876997,3
W2028385867,3
W2001870424,3
W2028171012,6
W2096435929,3
W2049674986,6
W2314117589,6
W2087964864,6
W2083765766,3
W2046493420,5
W2069359572,3
W2087909621,3
W2087656054,3
W2060381324,3
W1985823243,3
W2050815176,6
W2074521128,3
W2026052866,3
W2325106478,6
W2024159230,3
W1997704025,3
W2326451207,3
W2062777521,3
W1988009392,3
W2134319104,6
W2118151478,6
W2064674018,3
W2071300672,3
W2059583844,3
W2081836283,3
W2044766716,3
W2089230840,3
W2087827158,3
W2131063908,6
W2063642271,6
W2080584429,6
W2034133149,3
W2041463001,6
W2043324659,6
W2076460825,6
W2051932212,3
W1973161080,3
W2044738455,3
W2085819754,3
W1966296738,6
W2073777300,6
W2018635350,0
W2079742412,6
W2066343488,3
