paper_id,cluster_id
W2283195891,1
W3001217199,1
W2156338447,1
W2603203130,1
W2597289420,1
W2128716185,1
W2981731882,1
W2942157335,1
W2560647685,1
W2740767790,1
W1950594372,1
W2560920409,1
W2150387003,1
W2535690855,1
W3173241699,1
W3035356601,1
W4281763794,1
W2110119381,1
W2738588019,1
W1479911746,1
W2738406145,1
W3172710079,1
W3108519869,1
W2165605600,1
W2338532005,1
W2120149881,1
W2989045104,1
W2657631929,1
W1535599202,1
W2962793481,1
W2526425061,1
W2167090521,1
W2798722152,1
W1592090113,1
W2884675507,1
W2964744899,1
W2321533354,1
W4242037245,1
W1944615693,1
W3034368386,1
W2098477387,1
W2964137095,1
W2007640671,1
W2884154111,1
W2560023338,1
W1871385855,1
W2562319768,1
W2048821851,1
W2556388456,1
W1963882359,1
W2076462394,1
W2096404799,1
W2963240485,1
W2026493302,1
W2808312419,1
W1663984431,1
W2032536435,1
W2950055287,1
W3080580366,1
W2142192571,1
W2126159342,1
W2181623680,1
W2110557355,1
W3120421331,1
W3014413945,1
W3034069517,1
W2663800299,1
W22229905,1
W2966218717,1
W2551052086,1
W2120708938,1
W1975780119,1
W1986490585,1
W2981368934,1
W2032558548,1
W2572179331,1
W3011727199,1
W2793445582,1
W2946417913,1
W2963241951,1
W1858383477,1
W2034014085,1
W2962814024,1
W1975862670,1
W2556802233,1
W2963470893,1
W3096831136,1
W2774837955,1
W2920942303,1
W4313059954,1
W1984309565,1
W2167897892,1
W3187467055,1
W2565312867,1
W2091425152,1
W1803059841,1
W3033266910,1
W3016197797,1
W2173180041,1
W2759211898,1
W4380685454,1
W2767079719,1
W3081203761,1
W1990517717,1
W2804935296,1
W2078997308,1
W2267835966,1
W2963929190,1
W4366262984,1
W1577117059,1
W2076756823,1
W3018464563,1
W2564998703,1
W3132191748,1
W2094244309,1
W2029554959,1
W3183198896,1
W2148942721,1
W2963152299,1
W2963976704,1
W1513100184,1
W2149172860,1
W1971014294,1
W2963326767,1
W2022858489,1
W2064012529,1
W2340897893,1
W2301937176,1
W3167251133,1
W2033154814,1
W2966683369,1
W1643320849,1
W2555510177,1
W2140132917,1
W2963986095,1
W2072641892,1
W2698857938,1
W2510185399,1
W4386065890,1
W2790179710,1
